EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,34,26,19,12,7,0,46,42,38,30.23,30.15,30.05,10,10,10,21,15,33,0,0,,224
2015-1-2,36,32,28,17,16,13,63,53,43,30.42,30.31,30.17,10,10,9,14,10,20,0,0,,234
2015-1-3,54,41,28,48,33,17,89,83,61,30.38,30.11,29.85,10,5,1,17,9,28,0.65,7,Rain,135
2015-1-4,61,48,33,52,40,22,88,73,56,30.12,29.84,29.68,10,9,5,30,15,46,0.09,7,Rain-Snow,238
2015-1-5,30,22,14,21,7,-2,72,56,42,30.52,30.35,30.11,10,8,1,18,14,36,0.01,5,Snow,285
2015-1-6,19,16,12,11,8,-1,85,71,49,30.41,30.22,30.03,10,4,0,18,6,26,0.12,7,Snow,237
2015-1-7,15,9,1,4,-2,-13,73,60,35,30.56,30.25,30.03,10,6,0,20,15,33,0,6,Snow,289
2015-1-8,17,8,0,9,-5,-11,72,59,44,30.59,30.32,29.9,10,9,2,17,12,25,0,3,Snow,207
2015-1-9,21,14,6,13,5,-8,78,61,44,30.41,30.09,29.9,10,6,0,26,19,41,0.01,6,Snow,251
2015-1-10,15,8,0,-4,-8,-10,66,52,34,30.61,30.52,30.32,10,10,9,14,10,24,0,1,,222
2015-1-11,37,24,10,26,5,-4,75,42,23,30.55,30.48,30.4,10,10,6,15,8,,0.04,7,Rain-Snow,175
2015-1-12,36,32,26,34,30,19,93,86,72,30.41,30.23,30.14,10,4,0,18,8,26,0.22,8,Fog-Rain-Snow,305
2015-1-13,26,19,12,19,8,0,75,59,43,30.66,30.53,30.37,10,10,6,14,10,28,0,2,Snow,9
2015-1-14,24,20,15,14,7,0,68,59,45,30.41,30.3,30.21,10,10,8,8,4,,0,6,,338
2015-1-15,28,22,17,17,12,9,74,62,49,30.27,30.15,30.04,10,10,9,13,7,,0,4,,216
2015-1-16,33,27,21,21,16,10,75,62,50,30.29,30.11,29.94,10,9,3,16,11,25,0,7,,278
2015-1-17,50,34,18,23,16,8,68,53,33,30.29,30.11,29.88,10,10,9,14,6,25,0,1,,148
2015-1-18,44,38,33,32,27,22,79,65,42,29.91,29.82,29.74,10,10,6,20,12,28,0,6,Rain-Snow,242
2015-1-19,37,34,30,27,24,19,82,70,48,30.04,29.96,29.89,10,9,4,14,9,20,0,7,Rain-Snow,273
2015-1-20,35,32,30,29,27,23,88,81,69,30.06,29.96,29.9,9,3,0,7,1,,0.04,8,Snow,11
2015-1-21,35,32,30,31,28,26,93,85,76,30.12,30.01,29.96,9,3,0,15,4,,0.16,8,Fog-Rain-Snow,153
2015-1-22,34,31,28,30,24,20,85,74,64,30.44,30.29,30.12,10,8,3,10,7,,0,8,,291
2015-1-23,35,32,28,27,21,18,88,67,54,30.42,30.13,29.85,10,8,1,7,3,,0.07,6,Snow,204
2015-1-24,30,28,26,28,24,19,89,81,69,29.81,29.67,29.58,6,3,0,16,5,21,0.11,8,Fog-Snow,289
2015-1-25,35,32,30,30,28,27,92,84,78,29.84,29.77,29.69,5,3,0,15,9,,0.22,8,Fog-Snow,237
2015-1-26,30,26,19,28,23,14,89,85,78,29.89,29.73,29.66,10,2,0,13,6,17,0.33,8,Fog-Snow,344
2015-1-27,21,19,17,15,13,9,85,76,68,30.19,29.96,29.84,10,4,1,14,8,21,0.01,8,Snow,320
2015-1-28,21,16,10,10,7,4,85,70,48,30.42,30.3,30.16,10,8,2,13,7,,0,3,Snow,250
2015-1-29,37,26,16,34,23,8,87,74,52,30.3,29.95,29.79,10,6,2,17,8,28,0.14,7,Rain-Snow,186
2015-1-30,30,20,10,27,15,0,86,72,56,30.44,30.14,29.93,10,4,1,22,13,34,0.04,8,Snow,312
2015-1-31,26,17,8,14,6,0,73,64,51,30.45,30.35,30.25,10,10,10,12,8,,0,4,,237
2015-2-1,36,30,24,32,26,14,92,84,60,30.25,29.94,29.51,10,3,0,14,7,29,0.43,8,Fog-Rain-Snow,153
2015-2-2,39,26,12,37,21,3,93,77,59,30.24,29.68,29.38,10,4,0,18,10,32,0.24,8,Fog-Rain-Snow,272
