AALIYAH,F
AAPELI,M
AAPO,M
AAREN,M
AARNE,M
AARON,M
AARÓN,M
AATAMI,M
AATTO,M
AATU,M
ABADDON,M
ABBÁN,M
ABBEY,F
ABBIE,F
ABBY,F
ABD-AL-AZIZ,M
ABD-AL-MALIK,M
ABD-AL-QADIR,M
ABD-AL-RAHMAN,M
ABD-ALLAH,M
ABDUL-AZIZ,M
ABDUL-RAHMAN,M
ABDUL,M
ABDULLAH,M
ABE,M
ABEDNEGO,M
ABEGAIL,F
ABEL,M
ÁBEL,M
ABELONE,F
ABENA,F
ABENI,F
ABHAY,M
ABIAH,M
ABIDAN,M
ABIDEMI,M
ABIEL,M
ABIGAIL,F
ABIGAYLE,F
ABIHU,M
ABIJAH,M
ABILENE,F
ABIMAEL,M
ABIRAM,M
ABISAI,M
ABISHAG,F
ABISHAI,M
ABITAL,F
ABNER,M
ABRAHAM,M
ABRAM,M
ABSALOM,M
ABSOLON,M
ACACIA,F
ACACIUS,M
ACANTHA,F
ACE,M
ACHAICUS,M
ACHAN,M
ACHIENG,F
ACHILLE,M
ACHILLES,M
ACHIM,M
ACKE,M
ADA,F
ADAH,F
ADAIR,M
ADALBERT,M
ADALBERTO,M
ADALHEID,F
ADALIA,M
ADALINE,F
ADAM,M
ÁDÁM,M
ADAMINA,F
ADAMO,M
ADAN,M
ADÁN,M
ADÃO,M
ADARA,F
ADDIE,F
ADDISON,M
ADDY,F
ADEL,M
ADELA,F
ADELAIDA,F
ADELAIDE,F
ADÉLAÏDE,F
ADELE,F
ADÈLE,F
ADELHEID,F
ADELIA,F
ADELINA,F
ADELINE,F
ADELL,F
ADELLA,F
ADELLE,F
ADELMAR,M
ADEM,M
ADEN,M
ADENA,F
ADHARA,F
ADHIAMBO,F
ADI,F
ADIL,M
ADINA,F
ADINO,M
ADISA,M
ADITYA,M
ADJOA,F
ADLAI,M
ADOLF,M
ADOLFO,M
ADOLPH,M
ADOLPHE,M
ADOLPHUS,M
ADONAI,M
ADONIA,F
ADONIJAH,M
ADONIS,M
ADORA,F
ADORINDA,F
ADORJÁN,M
ADRASTEIA,F
ADRASTOS,M
ADRIA,F
ADRIAAN,M
ADRIAN,M
ADRIÁN,M
ADRIANA,F
ADRIANE,F
ADRIANNA,F
ADRIANNE,F
ADRIANO,M
ADRIENE,F
ADRIENN,F
ADRIENNE,F
ADWOA,F
Æ_EL_RY_,F
Æ_ELBERT,M
Æ_ELFRID,M
Æ_ELMÆR,M
Æ_ELRED,M
Æ_ELSTAN,M
AEGLE,F
ÆLFWINE,M
AELLA,F
ÆLRED,M
AEMILIA,F
AENEAS,M
AENGUS,M
AEOLUS,M
AERONWEN,F
AERONWY,F
ÆSC,M
AESCHYLUS,M
AESON,M
AESOP,M
AFANASI,M
AFANASY,M
AFANEN,F
AFIA,F
AFOLABI,M
AFON,F
AFONSO,M
AFRA,F
AFRICA,F
AFTON,F
AFUA,F
AGAFYA,F
AGAMEMNON,M
AGAPE,F
AGAPIOS,M
AGATA,F
AGATHA,F
AGATHANGELOS,F
AGATHE,F
AGATHON,M
AGAUE,F
AGGIE,F
AGHAVNI,F
ÁGI,F
AGLAIA,F
AGLAYA,F
AGLEA,F
AGNES,F
AGNÈS,F
ÁGNES,F
AGNESE,F
AGNESSA,F
AGNETA,F
AGNETHE,F
AGNIESZKA,F
