lat,lon,num_tweets,num_users
40.353,-79.989,69,8
40.442,-79.94,640,79
40.374,-79.978,7,5
40.521,-79.871,1,1
40.334,-79.962,149,13
40.364,-79.993,3,2
40.493,-80.023,126,5
40.501,-80.127,5,5
40.467,-80.107,5,4
40.35,-80.038,3,2
40.401,-79.988,6,5
40.353,-80.062,2,2
40.491,-79.893,1,1
40.575,-79.968,191,4
40.499,-79.961,52,1
40.322,-80.031,23,2
40.582,-80.095,1,1
40.329,-79.961,1,1
40.471,-80.133,10,7
40.39,-79.988,44,17
40.514,-80.076,1,1
40.29,-80.026,2,2
40.487,-80.118,7,3
40.533,-80.079,308,35
40.489,-79.972,130,8
40.347,-80.121,1,1
40.58,-79.824,1,1
40.359,-79.989,2,2
40.422,-79.993,55,42
40.399,-80.096,30,12
40.528,-79.879,1,1
40.427,-80.033,2,2
40.605,-79.839,1,1
40.553,-79.999,3,2
40.364,-79.868,10,4
40.469,-79.845,1481,5
40.343,-79.998,22,4
40.629,-79.941,1,1
40.412,-80.117,1,1
40.586,-80.002,6,6
40.376,-79.871,2,2
40.498,-80.015,170,4
40.497,-79.963,5,4
40.524,-79.87,3,3
40.483,-79.963,8,8
40.626,-80.002,4,2
40.433,-80.11,5,5
40.495,-79.895,4,1
40.289,-79.911,2,2
40.323,-79.831,12,4
40.467,-79.803,2,1
40.473,-79.932,9,3
40.426,-79.999,1787,8
40.335,-79.985,10,8
40.525,-80.049,24,3
40.463,-79.863,1,1
40.481,-80.13,62,4
40.272,-80.08,24,1
40.596,-79.947,1,1
40.451,-80.118,38,3
40.558,-80.197,1,1
40.578,-79.897,1,1
40.302,-80.056,1,1
40.35,-79.856,11,7
40.543,-79.936,1,1
40.598,-79.95,1,1
40.55,-80.163,1,1
40.408,-80.177,2,1
40.517,-80.031,2,2
40.337,-80.063,3,3
40.573,-79.996,2,2
40.324,-79.838,16,7
40.274,-79.832,1,1
40.425,-80.067,3,3
40.443,-79.977,9,4
40.458,-79.99,17,5
40.433,-80.009,170,55
40.438,-79.844,54,6
40.5,-80.066,790,17
40.404,-80.146,1,1
40.469,-79.946,7,1
40.257,-79.992,122,2
40.573,-80.005,1,1
40.404,-79.992,1,1
40.601,-80.036,27,2
40.433,-79.845,1,1
40.308,-79.865,1,1
40.457,-79.899,27,18
40.615,-79.965,4,2
40.506,-80.033,26,11
40.386,-80.126,50,16
40.558,-80.094,1,1
40.536,-79.839,2,2
40.42,-79.933,36,6
40.495,-79.955,1,1
40.524,-79.874,2,2
40.466,-80.025,13,9
40.512,-79.857,2,1
40.576,-80.025,17,11
40.383,-79.828,159,72
40.617,-79.929,46,1
40.259,-80.176,10,10
40.479,-79.961,9,8
40.374,-80.006,44,34
40.388,-79.803,1,1
40.477,-80.129,12,1
40.325,-80.044,1,1
40.377,-79.85,14,11
40.534,-80.028,2,1
40.498,-80.2,1,1
40.595,-80.028,3,2
40.342,-79.896,9,2
40.35,-80.047,13,2
40.402,-80.105,6,4
40.349,-80.08,1,1
40.467,-79.958,91,5
40.451,-79.935,1305,334
40.478,-80.075,8,3
40.497,-79.866,8,3
40.315,-79.83,133,23
40.291,-80.03,4,4
40.254,-79.912,1,1
40.417,-79.869,12,2
40.504,-79.912,1,1
40.405,-80.149,2,1
40.47,-79.921,51,27
40.582,-80.021,1,1
40.409,-80.029,4,4
40.638,-79.96,1,1
40.431,-80.053,22,14
40.414,-80.047,2,2
40.451,-79.83,5,2
40.479,-79.949,257,9
40.436,-79.987,4681,253
40.521,-79.971,8,3
40.397,-80.057,1,1
40.457,-79.864,2,2
40.576,-80.197,4,1
40.262,-80.186,141,7
40.371,-79.964,1,1
40.553,-80.032,2,2
40.31,-79.886,1,1
40.381,-79.904,97,3
40.46,-80.018,74,20
40.441,-79.967,167,45
40.515,-79.859,4,4
40.414,-79.834,9161,1
40.57,-79.9,3,1
40.409,-80.054,81,2
40.614,-79.934,21,3
40.262,-79.907,1,1
40.457,-79.932,44,25
40.466,-79.881,1,1
40.307,-79.901,2,2
40.503,-80.047,61,1
40.463,-79.908,1,1
40.4,-79.885,15,4
40.32,-80.009,1,1
40.464,-79.829,1,1
40.536,-79.958,5,3
40.412,-80.181,2,1
40.476,-80.037,8,3
40.276,-80.068,1,1
40.363,-79.855,35,5
40.38,-80.023,2,2
40.286,-79.942,1,1
40.515,-80.117,9,6
40.623,-80.06,1,1
40.477,-80.138,1,1
40.382,-80.0,6,4
40.44,-80.134,1,1
40.332,-80.002,1,1
40.333,-80.008,2,2
40.437,-80.193,276,31
40.46,-80.05,3,2
40.452,-79.925,41,18
40.564,-79.86,403,1
40.592,-80.041,5,1
40.442,-80.027,1,1
40.542,-80.07,1,1
40.375,-80.036,52,17
40.368,-79.848,3,3
40.441,-79.957,3542,1051
40.31,-80.008,1,1
40.55,-79.806,2,1
40.626,-79.925,10,1
40.502,-79.973,1,1
40.523,-79.978,15,3
40.389,-79.873,3,3
40.592,-80.034,2,2
40.466,-80.046,1,1
40.4,-79.95,12,11
40.369,-79.877,2,2
40.277,-79.828,1,1
40.526,-79.878,1,1
40.334,-80.1,1,1
40.409,-80.111,64,1
40.279,-79.894,1,1
40.363,-79.869,53,3
40.354,-80.049,25,8
40.42,-80.03,56,35
40.351,-79.863,140,21
40.38,-79.951,15,7
40.435,-79.89,14,8
40.315,-80.104,3,2
40.462,-79.818,5,3
40.398,-79.923,15,13
40.324,-80.076,1,1
40.373,-80.07,1,1
40.396,-80.011,9,6
40.33,-79.947,7,5
40.256,-80.129,1,1
40.309,-79.979,1,1
40.448,-79.945,83,33
40.25,-80.061,5,3
40.495,-80.028,156,7
40.263,-80.057,1,1
40.404,-80.069,1,1
40.594,-80.095,19,19
40.311,-79.925,5,1
40.618,-80.023,6,4
40.546,-79.874,1,1
40.475,-79.937,5,3
40.413,-80.025,83,8
40.284,-79.837,47,4
40.305,-80.095,1,1
40.465,-79.868,1,1
40.392,-79.96,6,2
40.412,-79.872,6,3
40.34,-79.9,2,2
40.304,-80.088,1,1
40.51,-80.042,1,1
40.256,-79.856,43,22
40.349,-80.102,3,2
40.388,-79.892,1,1
40.336,-79.877,8,3
40.631,-79.978,1,1
40.541,-80.08,1,1
40.507,-79.847,3,3
40.541,-79.878,1,1
40.459,-79.868,2,1
40.285,-80.175,3,2
40.595,-79.934,1,1
40.498,-79.89,13,3
40.339,-80.048,2,1
40.444,-79.848,4,2
40.449,-79.993,102,54
40.388,-79.86,1,1
40.278,-80.108,3,3
40.605,-80.075,21,4
40.345,-79.807,5,3
40.442,-80.154,11,3
40.35,-79.881,1,1
40.452,-80.003,278,18
40.27,-80.056,1,1
40.343,-80.077,15,1
40.512,-79.97,3,3
40.481,-79.936,11,5
40.506,-79.935,4,1
40.46,-79.939,152,15
40.622,-80.077,11,2
40.626,-79.96,1,1
40.378,-79.906,513,5
40.395,-80.102,15,15
40.475,-80.192,1,1
40.354,-80.013,5,5
40.317,-80.084,3,3
40.575,-79.955,3,3
40.292,-80.163,1,1
40.553,-80.019,164,70
40.246,-80.061,1,1
40.343,-80.067,1,1
40.388,-80.018,6,2
40.591,-80.024,45,4
40.318,-80.189,26,1
40.478,-80.138,2,1
40.276,-80.135,33,7
40.406,-79.933,470,4
40.254,-79.924,2,2
40.583,-80.099,7,7
40.303,-80.034,29,3
40.629,-80.142,1,1
40.627,-80.06,1,1
40.397,-79.857,9,4
40.369,-79.849,135,2
40.281,-80.182,1,1
40.422,-79.827,9,6
40.509,-80.12,1,1
40.603,-80.091,2,2
40.5,-79.821,3,1
40.57,-80.038,3,3
40.523,-79.972,8,6
40.367,-80.099,13,2
40.375,-79.846,45,18
40.435,-79.86,7,5
40.348,-79.952,34,28
40.538,-79.996,4,4
40.412,-80.196,4,3
40.607,-79.864,2,1
40.372,-80.121,3,3
40.434,-79.96,697,46
40.599,-80.089,1,1
40.42,-80.097,3,3
40.505,-79.805,1,1
40.473,-79.97,4,4
40.419,-80.094,6,2
40.407,-79.863,1,1
40.437,-80.003,775,208
40.483,-80.023,1,1
40.361,-80.046,11,2
40.455,-80.111,5,5
40.468,-79.972,8,2
40.329,-80.036,20,5
40.288,-79.886,7,3
40.437,-79.837,11,8
40.397,-79.995,2,2
40.244,-79.812,2,2
40.543,-79.962,4,2
40.4,-80.182,63,3
40.502,-79.856,71,4
40.62,-79.88,1,1
40.351,-80.022,37,24
40.448,-80.126,3,2
40.354,-80.056,11,2
40.437,-80.061,1,1
40.301,-80.046,1,1
40.321,-80.056,1,1
40.55,-79.987,21,2
40.425,-80.109,3,1
40.54,-79.981,1,1
40.543,-79.97,1,1
40.599,-79.922,2,2
40.599,-80.086,1,1
40.456,-80.192,21,12
40.443,-80.143,1,1
40.436,-80.01,294,158
40.294,-79.877,1,1
40.483,-80.088,2,1
40.242,-80.114,1,1
40.344,-79.951,3,3
40.386,-79.943,8,4
40.369,-80.111,2,2
40.343,-80.138,1,1
40.512,-79.977,6,5
40.521,-79.824,2,2
40.39,-79.878,19,5
40.369,-79.897,61,5
40.493,-79.921,1,1
40.431,-79.959,136,110
40.496,-79.92,3,3
40.52,-80.004,10,8
40.372,-80.053,9,6
40.351,-79.974,6,3
40.483,-80.086,2,1
40.504,-79.878,1,1
40.315,-79.978,11,1
40.565,-80.06,4,1
40.512,-80.027,42,5
40.287,-80.043,2,2
40.286,-79.984,107,7
40.365,-79.868,89,3
40.554,-79.992,1,1
40.253,-79.801,2,1
40.35,-79.896,2,2
40.537,-80.15,1,1
40.355,-80.053,2,2
40.525,-80.181,6,4
40.51,-79.857,6,2
40.574,-79.96,2,1
40.44,-80.065,3,3
40.537,-80.026,1,1
40.39,-80.164,1,1
40.281,-80.047,1,1
40.631,-79.847,2,2
40.49,-80.026,1,1
40.49,-79.953,11,11
40.307,-80.028,6,3
40.444,-80.014,25,13
40.36,-79.964,6,5
40.63,-79.923,5,3
40.418,-80.06,91,45
40.4,-80.013,3,2
40.431,-80.016,3,3
40.444,-79.993,540,201
40.414,-79.978,3,2
40.428,-80.075,8,6
40.495,-79.93,4,4
40.277,-79.839,5,3
40.472,-80.068,9,3
40.346,-79.94,6,5
40.425,-80.116,23,20
40.432,-79.842,18,4
40.452,-80.1,8,3
40.536,-80.188,1,1
40.598,-80.025,3,3
40.295,-80.09,4,3
40.626,-79.983,3,3
40.385,-79.995,222,117
40.431,-80.078,3,2
40.589,-80.111,1,1
40.461,-79.845,12,7
40.383,-80.093,3,3
40.489,-80.087,10,4
40.466,-80.047,2,2
40.548,-79.911,1,1
40.387,-80.031,108,22
40.383,-79.854,2,1
40.341,-79.828,8,4
40.601,-80.063,1,1
40.422,-80.188,1,1
40.532,-80.175,11,11
40.578,-80.081,1,1
40.503,-79.98,2,1
40.445,-79.889,113,50
40.481,-79.839,7,2
40.49,-79.9,16,5
40.245,-80.183,694,6
40.452,-79.868,1,1
40.463,-79.894,164,5
40.452,-80.109,6,5
40.447,-79.827,1,1
40.511,-80.033,1,1
40.503,-79.839,1,1
40.568,-80.008,4,2
40.293,-80.183,1,1
40.611,-79.986,31,3
40.438,-79.969,24,5
40.63,-79.879,1,1
40.393,-80.057,9,6
40.409,-79.862,1,1
40.598,-80.045,1,1
40.609,-80.195,5,5
40.57,-80.023,7,5
40.584,-80.053,4,1
40.35,-80.014,73,9
40.323,-79.963,6,3
40.363,-80.02,5,3
40.299,-79.989,1,1
40.444,-80.028,73,56
40.356,-80.08,5,2
40.507,-79.992,119,1
40.394,-79.992,36,3
40.565,-79.857,7,2
40.468,-80.0,1,1
40.325,-80.091,13,2
40.385,-79.895,2,2
40.535,-79.997,8,3
40.5,-80.134,4,4
40.443,-79.929,2,2
40.316,-79.893,33,5
40.316,-80.022,23,3
40.47,-80.099,7,6
40.279,-80.117,59,2
40.38,-79.86,1,1
40.616,-79.903,8,2
40.608,-80.019,1,1
40.505,-80.187,1,1
40.576,-80.076,6,3
40.537,-79.972,6,6
40.409,-80.083,253,14
40.465,-80.146,1,1
40.362,-80.134,1,1
40.366,-80.052,1,1
40.503,-80.015,4,3
40.627,-79.995,2,1
40.429,-80.037,23,3
40.343,-80.145,22,3
40.38,-79.831,3,1
40.43,-80.062,12,3
40.424,-79.985,8,4
40.362,-79.931,2,1
40.507,-80.093,8,3
40.41,-80.091,5,3
40.332,-80.024,33,16
40.479,-80.072,1,1
40.448,-79.952,125,67
40.442,-79.945,368,96
40.537,-80.029,4,3
40.56,-80.014,18,7
40.273,-80.162,1,1
40.584,-80.008,4,1
40.479,-80.031,11,6
40.469,-80.143,1,1
40.36,-79.826,2,2
40.398,-79.874,2,2
40.582,-80.06,1,1
40.575,-79.96,1,1
40.48,-80.178,8,2
40.381,-79.908,1,1
40.425,-79.812,1,1
40.369,-80.127,1,1
40.43,-79.934,1,1
40.434,-79.821,6,6
40.329,-79.826,1,1
40.555,-80.022,50,42
40.451,-80.055,114,5
40.405,-79.873,20,1
40.47,-80.065,3,2
40.603,-80.034,7,2
40.481,-79.95,1272,20
40.509,-80.05,304,3
40.456,-79.872,62,5
40.438,-80.142,2,2
40.326,-80.188,1,1
40.307,-79.821,1,1
40.348,-79.942,233,48
