date,tweet_pgh,tweet_sf,tweet_ny,tweet_houston,tweet_cleveland,tweet_seattle,tweet_miami,tweet_detroit,tweet_chicago,tweet_london,flickr_pgh,instagram_pgh 
Thu Jan 23 2014 00:00:00 GMT+0000 (UTC),3242,,,,,,,,,,, 
Fri Jan 24 2014 00:00:00 GMT+0000 (UTC),58119,,,,,,,,,,, 
Sat Jan 25 2014 00:00:00 GMT+0000 (UTC),92337,,,,,,,,,,3549,200 
Sun Jan 26 2014 00:00:00 GMT+0000 (UTC),125686,,,,,,,,,,14042,200 
Mon Jan 27 2014 00:00:00 GMT+0000 (UTC),163252,,,,,,,,,,14042,200 
Tue Jan 28 2014 00:00:00 GMT+0000 (UTC),204025,,,,,,,,,,14042,348 
Wed Jan 29 2014 00:00:00 GMT+0000 (UTC),240358,,,,,,,,,,15076,671 
Thu Jan 30 2014 00:00:00 GMT+0000 (UTC),277136,,,,,,,,,,26838,840 
Fri Jan 31 2014 00:00:00 GMT+0000 (UTC),311075,,,,,,,,,,29560,1179 
Sat Feb 01 2014 00:00:00 GMT+0000 (UTC),343669,,,,,,,,,,35023,1476 
Sun Feb 02 2014 00:00:00 GMT+0000 (UTC),373461,,,,,,,,,,62718,1862 
Mon Feb 03 2014 00:00:00 GMT+0000 (UTC),410713,,,,,,,,,,92097,2284 
Tue Feb 04 2014 00:00:00 GMT+0000 (UTC),463374,,,,,,,,,,115244,2588 
Wed Feb 05 2014 00:00:00 GMT+0000 (UTC),495985,,,,,,,,,,118474,2903 
Thu Feb 06 2014 00:00:00 GMT+0000 (UTC),533552,,,,,,,,,,120419,3225 
Fri Feb 07 2014 00:00:00 GMT+0000 (UTC),567527,,,,,,,,,,120966,3485 
Sat Feb 08 2014 00:00:00 GMT+0000 (UTC),599631,,,,,,,,,,121057,3485 
Sun Feb 09 2014 00:00:00 GMT+0000 (UTC),631288,,,,,,,,,,121101,3485 
Mon Feb 10 2014 00:00:00 GMT+0000 (UTC),663781,,,,,,,,,,121128,3485 
Tue Feb 11 2014 00:00:00 GMT+0000 (UTC),699373,,,,,,,,,,121138,3485 
Wed Feb 12 2014 00:00:00 GMT+0000 (UTC),730375,,,,,,,,,,121156,3588 
Thu Feb 13 2014 00:00:00 GMT+0000 (UTC),762466,,,,,,,,,,121156,3889 
Fri Feb 14 2014 00:00:00 GMT+0000 (UTC),800397,,,,,,,,,,121156,4273 
Sat Feb 15 2014 00:00:00 GMT+0000 (UTC),836018,,,,,,,,,,121156,4743 
Sun Feb 16 2014 00:00:00 GMT+0000 (UTC),869630,,,,,,,,,,121156,5300 
Mon Feb 17 2014 00:00:00 GMT+0000 (UTC),902038,,,,,,,,,,121156,5787 
Tue Feb 18 2014 00:00:00 GMT+0000 (UTC),936083,,,,,,,,,,121156,6135 
Wed Feb 19 2014 00:00:00 GMT+0000 (UTC),971696,,,,,,,,,,121156,6466 
Thu Feb 20 2014 00:00:00 GMT+0000 (UTC),1003191,,,,,,,,,,121156,6733 
Fri Feb 21 2014 00:00:00 GMT+0000 (UTC),1032523,,,,,,,,,,121156,7073 
Sat Feb 22 2014 00:00:00 GMT+0000 (UTC),1062649,,,,,,,,,,124739,7416 
Sun Feb 23 2014 00:00:00 GMT+0000 (UTC),1089118,,,,,,,,,,144256,7926 
Mon Feb 24 2014 00:00:00 GMT+0000 (UTC),1116894,,,,,,,,,,148134,8419 
Tue Feb 25 2014 00:00:00 GMT+0000 (UTC),1145286,,,,,,,,,,151168,8747 
Wed Feb 26 2014 00:00:00 GMT+0000 (UTC),1174170,,,,,,,,,,151441,9051 
Thu Feb 27 2014 00:00:00 GMT+0000 (UTC),1203349,,,,,,,,,,151550,9344 
Fri Feb 28 2014 00:00:00 GMT+0000 (UTC),1232371,,,,,,,,,,151550,9654 
Sat Mar 01 2014 00:00:00 GMT+0000 (UTC),1261347,,,,,,,,,,151550,9999 
Sun Mar 02 2014 00:00:00 GMT+0000 (UTC),1288947,,,,,,,,,,151550,10436 
Mon Mar 03 2014 00:00:00 GMT+0000 (UTC),1320193,,,,,,,,,,151550,10934 
Wed Mar 26 2014 00:00:00 GMT+0000 (UTC),2006527,,,,,,,,,,151550,20802 
Thu Mar 27 2014 00:00:00 GMT+0000 (UTC),2036205,,,,,,,,,,151550,21180 
Fri Mar 28 2014 00:00:00 GMT+0000 (UTC),2065920,,,,,,,,,,151550,21641 
Sat Mar 29 2014 00:00:00 GMT+0000 (UTC),2096670,,,,,,,,,,151550,22038 
Sun Mar 30 2014 00:00:00 GMT+0000 (UTC),2125182,,,,,,,,,,151550,22594 
Mon Mar 31 2014 00:00:00 GMT+0000 (UTC),2156671,,,,,,,,,,151550,23073 
Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),2190970,,,,,,,,,,151550,24394 
Wed Apr 02 2014 00:00:00 GMT+0000 (UTC),2220269,,,,,,,,,,151550,24956 
Thu Apr 03 2014 00:00:00 GMT+0000 (UTC),2247632,,,,,,,,,,151550,25561 
Fri Apr 04 2014 00:00:00 GMT+0000 (UTC),2278392,,,,,,,,,,151550,26384 
